hex,name
#ffc1c1,['RosyBrown1']
#eeb4b4,['RosyBrown2']
#cd9b9b,['RosyBrown3']
#8b6969,['RosyBrown4']
#ff6a6a,['IndianRed1']
#ee6363,['IndianRed2']
#cd5555,['IndianRed3']
#8b3a3a,['IndianRed4']
#ff8247,['sienna1']
#ee7942,['sienna2']
#cd6839,['sienna3']
#8b4726,['sienna4']
#ffd39b,['burlywood1']
#eec591,['burlywood2']
#cdaa7d,['burlywood3']
#8b7355,['burlywood4']
#ffe7ba,['wheat1']
#eed8ae,['wheat2']
#cdba96,['wheat3']
#8b7e66,['wheat4']
#ffa54f,['tan1']
#ee9a49,['tan2']
#8b5a2b,['tan4']
#ff7f24,['chocolate1']
#ee7621,['chocolate2']
#cd661d,['chocolate3']
#ff3030,['firebrick1']
#ee2c2c,['firebrick2']
#cd2626,['firebrick3']
#8b1a1a,['firebrick4']
#ff4040,['brown1']
#ee3b3b,['brown2']
#cd3333,['brown3']
#8b2323,['brown4']
#ff8c69,['salmon1']
#ee8262,['salmon2']
#cd7054,['salmon3']
#8b4c39,['salmon4']
#ee9572,['LightSalmon2']
#cd8162,['LightSalmon3']
#8b5742,['LightSalmon4']
#ee9a00,['orange2']
#cd8500,['orange3']
#8b5a00,['orange4']
#ff7f00,['DarkOrange1']
#ee7600,['DarkOrange2']
#cd6600,['DarkOrange3']
#8b4500,['DarkOrange4']
#ff7256,['coral1']
#ee6a50,['coral2']
#cd5b45,['coral3']
#8b3e2f,['coral4']
#ee5c42,['tomato2']
#cd4f39,['tomato3']
#8b3626,['tomato4']
#ee4000,['OrangeRed2']
#cd3700,['OrangeRed3']
#8b2500,['OrangeRed4']
#ee0000,['red2']
#cd0000,['red3']
#8b0000,"['DarkRed', 'dark red', 'red4']"
#d70751,['DebianRed']
#ee1289,['DeepPink2']
#cd1076,['DeepPink3']
#8b0a50,['DeepPink4']
#ff6eb4,['HotPink1']
#ee6aa7,['HotPink2']
#cd6090,['HotPink3']
#8b3a62,['HotPink4']
#ffb5c5,['pink1']
#eea9b8,['pink2']
#cd919e,['pink3']
#8b636c,['pink4']
#ffaeb9,['LightPink1']
#eea2ad,['LightPink2']
#cd8c95,['LightPink3']
#8b5f65,['LightPink4']
#ff82ab,['PaleVioletRed1']
#ee799f,['PaleVioletRed2']
#cd6889,['PaleVioletRed3']
#8b475d,['PaleVioletRed4']
#ff34b3,['maroon1']
#ee30a7,['maroon2']
#cd2990,['maroon3']
#8b1c62,['maroon4']
#ff3e96,['VioletRed1']
#ee3a8c,['VioletRed2']
#cd3278,['VioletRed3']
#8b2252,['VioletRed4']
#ee00ee,['magenta2']
#cd00cd,['magenta3']
#8b008b,"['DarkMagenta', 'dark magenta', 'magenta4']"
#ff83fa,['orchid1']
#ee7ae9,['orchid2']
#cd69c9,['orchid3']
#8b4789,['orchid4']
#ffbbff,['plum1']
#eeaeee,['plum2']
#cd96cd,['plum3']
#8b668b,['plum4']
#e066ff,['MediumOrchid1']
#d15fee,['MediumOrchid2']
#b452cd,['MediumOrchid3']
#7a378b,['MediumOrchid4']
#bf3eff,['DarkOrchid1']
#b23aee,['DarkOrchid2']
#9a32cd,['DarkOrchid3']
#68228b,['DarkOrchid4']
#9b30ff,['purple1']
#912cee,['purple2']
#7d26cd,['purple3']
#551a8b,['purple4']
#ab82ff,['MediumPurple1']
#9f79ee,['MediumPurple2']
#8968cd,['MediumPurple3']
#5d478b,['MediumPurple4']
#ffe1ff,['thistle1']
#eed2ee,['thistle2']
#cdb5cd,['thistle3']
#8b7b8b,['thistle4']
#030303,"['gray1', 'grey1']"
#050505,"['gray2', 'grey2']"
#080808,"['gray3', 'grey3']"
#0a0a0a,"['gray4', 'grey4']"
#0d0d0d,"['gray5', 'grey5']"
#0f0f0f,"['gray6', 'grey6']"
#121212,"['gray7', 'grey7']"
#141414,"['gray8', 'grey8']"
#171717,"['gray9', 'grey9']"
#1a1a1a,"['gray10', 'grey10']"
#1c1c1c,"['gray11', 'grey11']"
#1f1f1f,"['gray12', 'grey12']"
#212121,"['gray13', 'grey13']"
#242424,"['gray14', 'grey14']"
#262626,"['gray15', 'grey15']"
#292929,"['gray16', 'grey16']"
#2b2b2b,"['gray17', 'grey17']"
#2e2e2e,"['gray18', 'grey18']"
#303030,"['gray19', 'grey19']"
#333333,"['gray20', 'grey20']"
#363636,"['gray21', 'grey21']"
#383838,"['gray22', 'grey22']"
#3b3b3b,"['gray23', 'grey23']"
#3d3d3d,"['gray24', 'grey24']"
#404040,"['gray25', 'grey25']"
#424242,"['gray26', 'grey26']"
#454545,"['gray27', 'grey27']"
#474747,"['gray28', 'grey28']"
#4a4a4a,"['gray29', 'grey29']"
#4d4d4d,"['gray30', 'grey30']"
#4f4f4f,"['gray31', 'grey31']"
#525252,"['gray32', 'grey32']"
#545454,"['gray33', 'grey33']"
#575757,"['gray34', 'grey34']"
#595959,"['gray35', 'grey35']"
#5c5c5c,"['gray36', 'grey36']"
#5e5e5e,"['gray37', 'grey37']"
#616161,"['gray38', 'grey38']"
#636363,"['gray39', 'grey39']"
#666666,"['gray40', 'grey40']"
#6b6b6b,"['gray42', 'grey42']"
#6e6e6e,"['gray43', 'grey43']"
#707070,"['gray44', 'grey44']"
#737373,"['gray45', 'grey45']"
#757575,"['gray46', 'grey46']"
#787878,"['gray47', 'grey47']"
#7a7a7a,"['gray48', 'grey48']"
#7d7d7d,"['gray49', 'grey49']"
#7f7f7f,"['gray50', 'grey50']"
#828282,"['gray51', 'grey51']"
#858585,"['gray52', 'grey52']"
#878787,"['gray53', 'grey53']"
#8a8a8a,"['gray54', 'grey54']"
#8c8c8c,"['gray55', 'grey55']"
#8f8f8f,"['gray56', 'grey56']"
#919191,"['gray57', 'grey57']"
#949494,"['gray58', 'grey58']"
#969696,"['gray59', 'grey59']"
#999999,"['gray60', 'grey60']"
#9c9c9c,"['gray61', 'grey61']"
#9e9e9e,"['gray62', 'grey62']"
#a1a1a1,"['gray63', 'grey63']"
#a3a3a3,"['gray64', 'grey64']"
#a6a6a6,"['gray65', 'grey65']"
#a8a8a8,"['gray66', 'grey66']"
#ababab,"['gray67', 'grey67']"
#adadad,"['gray68', 'grey68']"
#b0b0b0,"['gray69', 'grey69']"
#b3b3b3,"['gray70', 'grey70']"
#b5b5b5,"['gray71', 'grey71']"
#b8b8b8,"['gray72', 'grey72']"
#bababa,"['gray73', 'grey73']"
#bdbdbd,"['gray74', 'grey74']"
#bfbfbf,"['gray75', 'grey75']"
#c2c2c2,"['gray76', 'grey76']"
#c4c4c4,"['gray77', 'grey77']"
#c7c7c7,"['gray78', 'grey78']"
#c9c9c9,"['gray79', 'grey79']"
#cccccc,"['gray80', 'grey80']"
#cfcfcf,"['gray81', 'grey81']"
#d1d1d1,"['gray82', 'grey82']"
#d4d4d4,"['gray83', 'grey83']"
#d6d6d6,"['gray84', 'grey84']"
#d9d9d9,"['gray85', 'grey85']"
#dbdbdb,"['gray86', 'grey86']"
#dedede,"['gray87', 'grey87']"
#e0e0e0,"['gray88', 'grey88']"
#e3e3e3,"['gray89', 'grey89']"
#e5e5e5,"['gray90', 'grey90']"
#e8e8e8,"['gray91', 'grey91']"
#ebebeb,"['gray92', 'grey92']"
#ededed,"['gray93', 'grey93']"
#f0f0f0,"['gray94', 'grey94']"
#f2f2f2,"['gray95', 'grey95']"
#f7f7f7,"['gray97', 'grey97']"
#fafafa,"['gray98', 'grey98']"
#fcfcfc,"['gray99', 'grey99']"
#a9a9a9,"['DarkGray', 'DarkGrey', 'dark gray', 'dark grey']"
